date,humidity,temperature,weight
2017-01-01,98.04031007751904,15.477829059829059,50736.79007751918
2017-01-02,98.80631944444451,13.37638888888889,50657.79625000004
2017-01-03,98.40347222222226,16.181965277777778,50769.785555555616
2017-01-04,97.29229166666687,14.724111111111105,50532.60277777781
2017-01-05,96.58388888888874,9.058442361111105,50109.80819444444
2017-01-06,96.39909722222225,4.5084250000000035,50172.72687500004
2017-01-07,96.1072222222224,7.758131944444449,50553.07958333331
2017-01-08,97.23874999999995,10.721145833333335,50536.13083333333
2017-01-09,98.33861111111105,9.040472222222219,50439.831597222204
2017-01-10,99.14270833333327,8.518958333333337,50447.250069444504
2017-01-11,97.92812499999971,10.729833333333326,50438.426736111265
2017-01-12,99.21479166666671,13.31172916666667,50385.658472222305
2017-01-13,99.54597222222243,8.453174999999998,50303.354722222226
2017-01-14,99.86916666666696,7.5652291666666684,50326.231319444516
2017-01-15,99.82868055555537,8.90400625,50203.77194444441
2017-01-16,99.79222222222225,6.508114583333334,49990.119791666584
2017-01-17,99.70861111111147,5.499824305555559,50230.610277777785
2017-01-18,100.0,6.051965277777779,50182.57833333335
2017-01-19,99.36548611111081,6.420756944444445,50184.95305555555
2017-01-20,99.92604166666686,7.86834375,50184.137638888875
2017-01-21,99.26125000000027,11.12026319444445,50162.343819444446
2017-01-22,100.0,11.995979166666665,50015.775208333274
2017-01-23,100.0,8.865644444444449,50000.66263888893
2017-01-24,100.0,10.837311111111113,50028.96736111112
2017-01-25,100.0,14.089465277777775,49834.64125000001
2017-01-26,61.52777777777778,12.287699999999994,49906.24069444453
2017-01-27,-91.12347222222223,9.244174999999997,49782.347777777875
2017-01-28,99.99270833333333,8.136961805555554,49643.17937500001
2017-01-29,92.19013888888887,11.341052083333336,49897.14437499996
2017-01-30,100.0,13.943312500000003,49766.43513888882
2017-01-31,99.8152083333332,12.626118055555567,49813.74006944447
2017-02-01,99.31784722222167,12.40838194444445,49733.845763888916
2017-02-02,71.43805555555564,13.31129861111111,49726.20118055559
2017-02-03,-100.0,10.794083333333335,49759.74229166664
2017-02-04,-100.0,13.462006944444452,49790.575347222126
2017-02-05,-100.0,13.492604166666668,49659.91124999995
2017-02-06,-100.0,13.800819444444452,49620.63208333334
2017-02-07,-100.0,13.582222222222224,49453.07000000009
2017-02-08,-100.0,10.837287500000002,49280.36979166647
2017-02-09,-100.0,10.89871388888889,49206.08451388874
2017-02-10,-80.4342986111111,11.14326111111111,49343.23944444462
2017-02-11,38.60520833333327,11.65815138888889,49420.006388889014
2017-02-12,90.01416666666672,13.073611111111113,49389.84083333338
2017-02-13,90.51798611111087,10.122885416666666,49146.3547222221
2017-02-14,91.22555555555547,10.402077083333337,49113.26763888882
2017-02-15,92.43097222222215,9.331622916666667,49100.18687500003
2017-02-16,92.60263888888872,11.638556944444446,49221.01111111105
2017-02-17,93.16479166666699,14.889368055555568,49260.03270833334
2017-02-18,92.83812499999965,14.904868055555552,49193.96173611125
2017-02-19,92.17631944444469,14.48338194444444,49237.69868055556
2017-02-20,91.64541666666693,15.573888888888888,49247.25958333339
2017-02-21,91.16430555555552,16.751965277777785,49130.22118055556
2017-02-22,90.27506944444434,15.379104166666663,49079.76097222211
2017-02-23,88.33923611111092,14.17174305555555,48993.50284722226
2017-02-24,89.37354166666664,13.864645833333347,48924.25152777774
2017-02-25,90.8815972222221,12.818416666666657,48912.34340277783
2017-02-26,92.52458333333338,13.915034722222218,49022.43326388892
2017-02-27,94.73090277777789,16.777326388888895,48994.0116666666
2017-02-28,93.15916666666658,16.492736111111114,48814.77319444444
2017-03-01,94.91236111111101,14.029979166666665,48758.45159722213
2017-03-02,95.28493055555545,14.335347222222218,48738.92263888886
2017-03-03,94.21638888888914,18.935715277777792,48634.56402777779
2017-03-04,91.41930555555564,24.93521527777778,48159.31347222225
2017-03-05,93.49111111111094,20.827402777777795,47903.48513888885
2017-03-06,97.33493055555505,14.388229166666669,47740.04722222206
2017-03-07,98.81965277777805,13.86477777777777,47680.16361111112
2017-03-08,97.1195833333332,14.468770833333325,47736.97458333334
2017-03-09,97.38729166666661,15.134826388888886,47726.86020833339
2017-03-10,97.01145833333362,15.523854166666673,47625.44430555556
2017-03-11,98.2254861111112,16.28295138888889,47515.854027777794
2017-03-12,93.86194444444426,14.576854166666655,47406.13826388893
2017-03-13,97.8860416666667,13.652791666666669,47321.62381944455
2017-03-14,97.75062500000014,16.617118055555558,47444.42312500007
2017-03-15,98.8470833333333,18.66706944444445,47275.34729166674
2017-03-16,97.06506944444448,20.047263888888875,47186.14076388887
2017-03-17,99.05638888888917,26.213847222222213,47066.28312500003
2017-03-18,99.70361111111109,22.796819444444427,46981.583819444364
2017-03-19,99.68666666666661,17.95083333333334,46927.94847222214
2017-03-20,81.07013888888886,20.19266666666668,47015.17840277775
2017-03-21,98.06965277777776,20.02354861111113,46900.99597222211
2017-03-22,95.84864583333335,21.269173611111114,46666.539652777836
2017-03-23,99.46972222222213,23.074145833333336,46635.24368055548
2017-03-24,96.24211111111129,24.713951388888884,46547.15354166661
2017-03-25,86.41413888888889,27.553826388888897,46763.41993055551
2017-03-26,92.84006249999987,29.519101449275365,46989.11069444449
2017-03-27,70.53341666666667,31.284645833333343,47661.31243055553
2017-03-28,92.58184027777781,33.189770833333334,48619.84416666668
2017-03-29,96.82152777777759,32.8025416666667,49116.32881944438
2017-03-30,94.82770833333328,32.69588194444446,49311.26145833326
2017-03-31,89.42783333333344,33.877069444444444,49625.99930555554
2017-04-01,89.79246527777772,33.90060416666667,49802.159930555594
