humidity,temperature,tavg,tmin,tmax,prcp,tsun,weight
5.174685341542792,0.0205890780080193,-4.9,-6.7,-3.0,0.0,0,52.67111111111112
92.79472222222222,1.8255784118357483,-1.0,-3.1,0.5,0.8,6,52.67111111111112
91.17347222222224,3.082556582125604,0.4,-1.3,2.2,0.1,42,52.65376729166669
91.07791666666668,3.750071482487922,1.0,-0.9,2.4,1.9,24,52.61083458333338
82.65607638888889,2.259225301932368,-1.8,-7.0,1.4,0.0,96,52.62359055555558
91.54534722222223,-0.9377708484299516,-8.5,-12.3,-4.7,0.0,480,52.29232611111112
89.07736111111109,-2.648781748188405,-8.0,-13.0,-4.4,0.1,30,52.38475888888891
90.13118055555556,1.812448611111111,-1.1,-4.5,0.9,0.1,0,52.64971104166668
90.16652777777776,3.6595248641304345,-0.1,-0.6,0.9,0.0,0,52.61831708333337
86.3720138888889,4.034587016908213,-0.8,-3.6,1.1,0.0,78,52.57475145833336
87.87368055555557,4.752350241545894,1.2,-1.5,4.5,1.1,0,52.47550562499999
84.40236111111112,6.899888707729468,3.5,2.1,4.8,3.4,12,52.42196722222221
80.83861805555556,5.965962047101449,2.0,-1.0,5.8,0.4,0,52.28511916666667
85.1835486111111,4.471487167874397,1.0,-0.4,2.5,0.3,30,52.18620951388889
87.00312500000001,4.085289598429951,-0.3,-2.2,2.4,0.6,54,52.25929944444445
89.96993055555556,2.929196165458937,-3.4,-6.5,-1.4,0.0,204,52.12863590277777
87.33236111111113,2.4983240036231886,-3.0,-5.7,-0.4,0.0,228,52.23552902777777
86.03218055555557,3.478641500603865,-3.8,-7.4,-0.9,0.0,402,52.081065625
90.28916666666667,3.4917176026570043,-4.6,-8.8,0.1,0.0,504,51.85140284722224
84.8114236111111,5.79679338768116,-2.8,-8.3,3.5,0.0,510,51.77167027777779
83.64284027777778,5.499719806763285,-3.6,-8.5,1.7,0.0,498,51.76248118055554
86.59881944444443,4.857344957729468,-5.4,-9.5,-0.4,0.0,462,51.75404333333333
92.83111111111111,2.391013979468599,-9.0,-12.6,-4.4,0.0,432,51.7725411111111
92.5231944444444,2.46311038647343,-7.0,-8.6,-5.5,0.0,0,51.73702770833335
91.2834722222222,5.01563677536232,-3.8,-6.3,-1.9,0.0,0,51.76173284722223
85.84865277777779,7.914984042874397,-1.3,-3.7,2.0,0.0,438,51.657218402777794
