humidity,tavg,tmin,tmax,prcp,tsun,weight
5.174685341542792,-4.9,-6.7,-3.0,0.0,0,52.67111111111112
92.79472222222222,-1.0,-3.1,0.5,0.8,6,52.67111111111112
91.17347222222224,0.4,-1.3,2.2,0.1,42,52.65376729166669
91.07791666666668,1.0,-0.9,2.4,1.9,24,52.61083458333338
82.65607638888889,-1.8,-7.0,1.4,0.0,96,52.62359055555558
91.54534722222223,-8.5,-12.3,-4.7,0.0,480,52.29232611111112
89.07736111111109,-8.0,-13.0,-4.4,0.1,30,52.38475888888891
90.13118055555556,-1.1,-4.5,0.9,0.1,0,52.64971104166668
90.16652777777776,-0.1,-0.6,0.9,0.0,0,52.61831708333337
86.3720138888889,-0.8,-3.6,1.1,0.0,78,52.57475145833336
87.87368055555557,1.2,-1.5,4.5,1.1,0,52.47550562499999
84.40236111111112,3.5,2.1,4.8,3.4,12,52.42196722222221
80.83861805555556,2.0,-1.0,5.8,0.4,0,52.28511916666667
85.1835486111111,1.0,-0.4,2.5,0.3,30,52.18620951388889
87.00312500000001,-0.3,-2.2,2.4,0.6,54,52.25929944444445
89.96993055555556,-3.4,-6.5,-1.4,0.0,204,52.12863590277777
87.33236111111113,-3.0,-5.7,-0.4,0.0,228,52.23552902777777
86.03218055555557,-3.8,-7.4,-0.9,0.0,402,52.081065625
90.28916666666667,-4.6,-8.8,0.1,0.0,504,51.85140284722224
84.8114236111111,-2.8,-8.3,3.5,0.0,510,51.77167027777779
83.64284027777778,-3.6,-8.5,1.7,0.0,498,51.76248118055554
86.59881944444443,-5.4,-9.5,-0.4,0.0,462,51.75404333333333
92.83111111111111,-9.0,-12.6,-4.4,0.0,432,51.7725411111111
92.5231944444444,-7.0,-8.6,-5.5,0.0,0,51.73702770833335
91.2834722222222,-3.8,-6.3,-1.9,0.0,0,51.76173284722223
85.84865277777779,-1.3,-3.7,2.0,0.0,438,51.657218402777794
90.18652777777775,-2.0,-6.3,2.9,0.0,504,51.50350131944444
93.07451388888887,-4.2,-7.6,-0.3,0.0,480,51.5229688888889
95.61951388888887,-2.7,-8.1,2.9,0.0,402,51.44717166666669
93.29027777777776,1.2,-3.5,5.0,5.9,0,51.45432180555557
92.24611111111108,3.0,0.8,5.0,0.0,0,51.40508888888889
91.214375,1.8,0.1,4.1,0.4,36,51.36237659722223
