date,temperature
2017-01-01,0.0205890780080193
2017-01-02,1.8255784118357483
2017-01-03,3.082556582125604
2017-01-04,3.750071482487922
2017-01-05,2.259225301932368
2017-01-06,-0.9377708484299516
2017-01-07,-2.648781748188405
2017-01-08,1.812448611111111
2017-01-09,3.6595248641304345
2017-01-10,4.034587016908213
2017-01-11,4.752350241545894
2017-01-12,6.899888707729468
2017-01-13,5.965962047101449
2017-01-14,4.471487167874397
2017-01-15,4.085289598429951
2017-01-16,2.929196165458937
2017-01-17,2.4983240036231886
2017-01-18,3.478641500603865
2017-01-19,3.4917176026570043
2017-01-20,5.79679338768116
2017-01-21,5.499719806763285
2017-01-22,4.857344957729468
2017-01-23,2.391013979468599
2017-01-24,2.46311038647343
2017-01-25,5.01563677536232
2017-01-26,7.914984042874397
2017-01-27,7.431986443236716
2017-01-28,6.354862711352657
2017-01-29,7.13807353562802
2017-01-30,9.669794595410629
2017-01-31,11.545804830917875
2017-02-01,11.516257518115944
2017-02-02,11.673543131038649
2017-02-03,13.33437382246377
2017-02-04,13.32595935990338
2017-02-05,13.96001754227053
2017-02-06,13.178081219806764
2017-02-07,13.103353396739127
2017-02-08,11.534402792874394
2017-02-09,8.577688919082126
2017-02-10,9.825184797705315
2017-02-11,11.884489341787438
2017-02-12,9.871825875603866
2017-02-13,12.872558318236711
2017-02-14,12.09538860205314
2017-02-15,10.318743900966185
2017-02-16,10.19380569142512
2017-02-17,10.494512817028989
2017-02-18,10.44902942330918
2017-02-19,9.17893025362319
2017-02-20,11.091452596618357
2017-02-21,13.718310537439612
2017-02-22,13.331340277777777
2017-02-23,13.667048082729467
2017-02-24,10.198873746980675
2017-02-25,9.17282958937198
2017-02-26,12.60358337862319
2017-02-27,16.136165760869563
2017-02-28,10.659617149758454
2017-03-01,9.2981514794686
2017-03-02,11.01928070652174
2017-03-03,11.57625526871981
2017-03-04,13.96123932669082
2017-03-05,13.079030495169084
2017-03-06,10.354058680555555
2017-03-07,10.25522389794686
2017-03-08,9.776312439613523
2017-03-09,13.92908375603865
2017-03-10,13.229694972826088
2017-03-11,12.255011624396134
2017-03-12,12.799247146739134
2017-03-13,12.645031174516909
2017-03-14,14.358208997584542
2017-03-15,16.30586092995169
2017-03-16,17.97445307971015
2017-03-17,16.99588574879227
2017-03-18,15.601010869565217
2017-03-19,18.249475845410625
2017-03-20,18.09347584541064
2017-03-21,17.19790652173913
2017-03-22,16.17523028381643
2017-03-23,18.441914824879227
2017-03-24,18.36710733695652
2017-03-25,19.12114320652174
2017-03-26,
2017-03-27,20.791013934178743
2017-03-28,21.529683182367148
2017-03-29,22.91374018719807
2017-03-30,24.771307820048307
2017-03-31,25.35666138285025
2017-04-01,24.93284827898552
2017-04-02,24.27570214371981
2017-04-03,24.06855374396135
2017-04-04,23.01762182971015
2017-04-05,22.363031370772948
2017-04-06,22.250142934782613
2017-04-07,21.532442934782605
2017-04-08,24.54316681763285
2017-04-09,25.407656853864736
2017-04-10,25.41657321859903
2017-04-11,23.51427521135265
2017-04-12,23.360267964975847
2017-04-13,23.01099290458937
2017-04-14,23.00374486714976
2017-04-15,22.288911382850245
2017-04-16,21.055404770531403
2017-04-17,20.87115407608696
2017-04-18,20.0547080615942
2017-04-19,19.70535483091788
2017-04-20,21.25562563405797
2017-04-21,22.10890009057971
2017-04-22,22.054025815217383
2017-04-23,20.733208212560385
2017-04-24,22.89175416666667
2017-04-25,21.97622509057972
2017-04-26,21.8860809178744
2017-04-27,21.854653381642507
2017-04-28,22.534357940821256
2017-04-29,23.49060069444444
2017-04-30,24.321909269323672
2017-05-01,22.090773852657005
2017-05-02,21.13240851449276
2017-05-03,22.13611080917875
2017-05-04,23.26304770531401
2017-05-05,23.4999053442029
2017-05-06,25.03623973429952
2017-05-07,24.83489417270532
2017-05-08,23.382464824879225
2017-05-09,23.75718417874397
2017-05-10,25.086223128019324
2017-05-11,26.92869746376812
2017-05-12,27.189888435990344
2017-05-13,27.62661654589372
2017-05-14,27.43022584541063
2017-05-15,27.730171648550726
2017-05-16,29.31971301328502
2017-05-17,30.330808574879228
2017-05-18,29.857503623188407
2017-05-19,26.70888753019324
2017-05-20,26.52391047705314
2017-05-21,27.93136156400966
2017-05-22,29.473564311594203
2017-05-23,28.646651117149755
2017-05-24,27.122233846618368
2017-05-25,28.863519021739133
2017-05-26,29.869098429951688
2017-05-27,30.877609903381643
2017-05-28,31.417936292270536
2017-05-29,31.90840851449275
2017-05-30,30.29571920289856
2017-05-31,29.97147916666668
2017-06-01,30.17601237922705
2017-06-02,30.74325634057971
2017-06-03,30.22778804347826
2017-06-04,27.754038194444448
2017-06-05,27.42658529589372
2017-06-06,26.462967391304343
2017-06-07,24.598409420289844
2017-06-08,27.55932818370908
2017-06-09,27.775457125603864
2017-06-10,28.41342436594203
2017-06-11,29.95075362318841
2017-06-12,29.97934918478261
2017-06-13,28.633015549516912
2017-06-14,29.813268115942027
2017-06-15,30.194532910628016
2017-06-16,28.26449275362319
2017-06-17,26.50391878019325
2017-06-18,30.145412288647343
2017-06-19,31.107401419082127
2017-06-20,31.6484125905797
2017-06-21,31.762296339030343
2017-06-22,31.53155510265701
2017-06-23,30.190350845410624
2017-06-24,29.25949169685991
2017-06-25,28.58116500603865
2017-06-26,30.11696648550725
2017-06-27,29.52574667874396
2017-06-28,29.02599939613528
2017-06-29,26.94032291666667
2017-06-30,26.93739583333333
2017-07-01,25.530603260869565
2017-07-02,25.925065972222217
2017-07-03,27.30920727657005
2017-07-04,29.060042421497588
2017-07-05,30.28127717391304
