features,values
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7304580040971616
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_tsun']",0.7275314603453324
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_humidity']",0.7265218027509511
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_prcp', 'dif_tsun']",0.7274875621890545
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_prcp', 'dif_humidity']",0.7260242903131402
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tsun', 'dif_humidity']",0.7221319871232073
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_prcp', 'dif_tsun']",0.7299385425812115
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_prcp', 'dif_humidity']",0.7309628328943518
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_tsun', 'dif_humidity']",0.7353599648814749
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7211223295288264
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun']",0.7255706760316065
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_humidity']",0.7230904302019315
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_tsun', 'dif_humidity']",0.7241000877963126
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.696115013169447
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7265364354697101
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun']",0.7275021949078138
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_humidity']",0.7240927714369328
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_tsun', 'dif_humidity']",0.7112964588820602
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.721590576529119
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_tavg', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7216417910447761
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_temperature', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7186713491366695
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun']",0.7304506877377819
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_humidity']",0.7176836406204273
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_tsun', 'dif_humidity']",0.7147570968685983
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.727004682470003
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7181372549019608
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7221100380450687
"['tmax', 'tmin', 'prcp', 'tsun', 'humidity', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.719659057652912
"['tmax', 'tmin', 'prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun']",0.7334064969271291
"['tmax', 'tmin', 'prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_humidity']",0.7221027216856891
"['tmax', 'tmin', 'prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_tsun', 'dif_humidity']",0.7225929177641206
"['tmax', 'tmin', 'prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7265437518290899
"['tmax', 'tmin', 'prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7245683347966051
"['tmax', 'tmin', 'prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7211735440444834
"['tmax', 'tmin', 'prcp', 'tsun', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7162130523851332
"['tmax', 'tmin', 'prcp', 'tsun', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun', 'dif_humidity']",0.7215905765291191
"['tmax', 'tmin', 'prcp', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_tsun']",0.7235879426397422
"['tmax', 'tmin', 'prcp', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp', 'dif_humidity']",0.7294629792215395
"['tmax', 'tmin', 'prcp', 'humidity', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_tsun', 'dif_humidity']",0.7181884694176179
