features,values
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin']",0.7279704419081067
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax']",0.7319139596136961
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_prcp']",0.729945858940591
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_tmax']",0.7137693883523557
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_prcp']",0.7049385425812117
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tmax', 'dif_prcp']",0.719673690371671
"['prcp', 'tsun', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_tmax']",0.7221027216856889
"['prcp', 'tsun', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_prcp']",0.7270339479075212
"['prcp', 'tsun', 'dif_temperature', 'dif_tavg', 'dif_tmax', 'dif_prcp']",0.7196444249341527
"['prcp', 'tsun', 'dif_temperature', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7226221832016387
"['prcp', 'tsun', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax']",0.7206394498097747
"['prcp', 'tsun', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_prcp']",0.7235806262803628
"['prcp', 'tsun', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_prcp']",0.7206394498097747
"['prcp', 'tsun', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7191981270119989
"['prcp', 'tsun', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7152180275095111
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax']",0.7171934445419959
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_prcp']",0.7231196956394496
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_prcp']",0.7231123792800703
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7177568042142232
"['prcp', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7216491074041557
"['prcp', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7221100380450687
"['tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax']",0.7259950248756221
"['tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_prcp']",0.7368232367573896
"['tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_prcp']",0.7309774656131107
"['tsun', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7319724904887327
"['tsun', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7245317529997073
"['tsun', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7167251975417034
"['dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7245683347966051
