humidity,temperature,weight,tavg,tmin,tmax,prcp,tsun
87.55922916666667,8.849690519323675,54.38283902430557,6.2,3.3,7.1,0.6,0
85.9480416666667,5.5099004378019325,54.38283902430557,2.4,-1.0,4.3,0.7,236
88.7163888888889,2.3836714824879226,54.38254596805557,-1.1,-3.5,0.7,0.6,129
89.59430555555558,3.2157136171497585,54.3836448888889,0.9,-1.5,2.6,3.4,13
90.31819444444444,5.929389643719806,54.38308833402779,4.2,1.8,6.3,1.0,0
89.71513888888887,8.148625483091786,54.38143999722224,5.8,5.1,6.7,0.0,0
88.095625,6.998679559178744,54.3812856263889,4.3,2.8,5.1,1.9,0
86.93604166666665,6.15290652173913,54.381533156250015,4.1,2.5,5.7,3.0,60
88.444375,4.566407865338164,54.380984416666685,1.7,0.3,3.4,0.1,0
88.32344444444443,4.048878004227053,54.38290131319446,0.9,-1.0,2.4,0.0,5
90.1352777777778,5.544165413647344,54.38290131319446,-0.5,-1.6,1.3,3.6,0
91.2647222222222,6.091429060990339,54.30213583333335,2.2,1.0,3.7,5.2,0
90.7790277777778,8.311469640700484,54.32930347222222,6.1,3.7,8.4,7.3,0
85.44018055555557,7.9396759057971,54.24870840277777,4.5,2.1,6.5,0.4,55
81.59588194444443,6.229985069444443,54.176611666666645,3.8,2.0,5.5,0.0,14
79.90635416666666,6.693385356280195,54.12747777777778,3.7,1.4,5.5,0.0,0
83.0895138888889,6.910149365942029,54.11777784722219,4.4,1.0,7.1,5.3,52
86.10271527777776,5.265241032608697,54.055855069444426,0.6,-3.3,4.1,0.0,410
89.27351388888887,3.2551838919082123,53.97581756944444,-2.7,-5.9,1.7,0.0,480
90.62131944444448,2.0132436443236714,53.91157381944439,-3.9,-7.3,-0.7,0.0,442
88.66559722222219,3.2933126811594207,53.87821118055557,-2.6,-7.0,1.1,0.0,428
92.75625000000002,0.4487978411835747,53.79701111111112,-5.0,-8.7,-2.5,0.0,0
89.9104861111111,1.038235945048309,53.78347777777785,-3.6,-4.6,-2.8,0.0,0
91.3952777777778,0.90935532910628,53.73595555555553,-3.7,-4.4,-2.6,0.5,0
88.04548611111112,0.9228686443236712,53.7122222222222,-2.6,-4.3,-0.5,0.6,54
88.88013888888888,4.337421844806764,53.74067791666666,2.4,-1.2,5.5,0.2,25
86.05020138888891,7.336058182367151,53.7234888888889,4.5,1.7,7.5,1.7,55
87.69423611111114,4.471187877415459,53.66428881944447,1.7,0.9,2.4,1.1,1
91.56131944444446,6.465500286835746,53.60457777777781,0.8,-1.7,2.8,0.0,20
87.0414236111111,3.944310929951691,53.54727666666667,0.1,-2.1,4.1,0.0,34
87.75636805555558,3.378873611111111,53.49897374999997,-0.9,-4.4,2.6,1.3,177
88.31138888888889,4.9204332578502425,53.47531930555552,1.4,-1.1,3.6,2.9,0
89.4352777777778,6.0889078653381645,53.469605902777744,2.4,1.1,5.2,0.1,1
89.47034722222224,4.937861654589372,53.41839999999999,2.1,1.5,2.6,0.0,0
85.17849305555558,5.903570425724638,53.36476666666665,1.0,-2.5,5.4,0.0,517
89.79088194444445,5.894433272946859,53.28547777777777,0.9,-3.1,6.2,0.0,266
89.60156944444445,4.427790307971014,53.24481111111112,-1.1,-4.0,4.1,0.0,413
90.375,2.855518357487924,53.21085555555555,-0.9,-4.4,3.5,1.4,0
81.19563194444443,7.193235205314008,53.222044444444464,5.3,2.6,9.8,1.0,231
78.59188194444447,9.35209696557971,53.14908923611114,6.5,2.1,9.6,0.0,206
79.25061805555556,10.151557397342994,53.08379333333336,7.1,3.6,12.3,3.7,0
79.83597222222222,6.900430117753623,53.01571416666669,4.1,2.0,7.1,0.2,56
80.4569861111111,5.860679634661835,52.95665555555552,3.3,1.8,5.0,0.0,6
77.60725694444444,6.790888662439613,52.92058888888885,3.3,-1.0,8.8,0.0,504
82.10572222222223,7.743004996980677,52.84256458333334,1.8,-2.9,9.1,0.0,295
81.71496527777778,12.962704710144928,52.68339506944445,3.9,-2.3,12.5,0.0,580
84.45063888888889,16.346869338768112,52.393176944444456,4.3,-2.2,12.8,0.0,581
84.27083333333333,14.270673671497583,52.273911111111126,4.2,-2.3,12.7,0.0,584
80.77445138888889,13.562987862318844,52.21715805555553,4.4,-2.7,14.1,0.0,410
78.5819861111111,13.19887462258454,52.13108909722225,5.1,0.6,10.0,0.0,66
80.23481944444445,13.048051615338162,52.112144513888886,4.8,-0.7,11.4,0.0,224
79.58173611111113,13.165714839975848,52.10461118055556,6.6,1.0,11.9,0.0,158
79.58173611111113,13.165714839975848,52.10461118055556,9.0,2.3,12.0,0.0,9
79.58173611111113,13.165714839975848,52.10461118055556,2.8,-2.0,8.2,0.0,475
79.58173611111113,13.165714839975848,52.10461118055556,3.7,-2.7,11.2,0.0,616
70.52884027777779,15.491487484903384,51.84754361111106,5.8,-2.4,15.9,0.0,607
78.84446527777779,20.64036301328502,51.74918965277777,7.9,-0.9,18.6,0.0,604
73.8355625,20.66528070652174,51.70078090277779,7.8,-0.5,18.3,0.0,624
66.62501388888889,18.743066062801933,51.67674493055557,9.7,1.4,18.1,0.5,519
79.02211805555557,16.68937469806763,51.61768888888889,8.6,6.4,11.0,0.5,29
80.16477083333335,14.95736687801932,51.60092222222227,7.2,5.3,9.1,0.0,0
72.15970833333331,16.250594051932364,51.60676687500001,10.1,8.2,11.8,0.2,3
68.25155555555556,15.64161133756039,51.555779166666674,8.6,4.6,13.2,3.3,85
79.37978472222223,12.783547373188403,51.469544375,5.3,3.3,8.1,2.2,90
