features,values
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tavg']",0.7250804799531754
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tmin']",0.7005267778753294
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_tmax']",0.722636815920398
"['prcp', 'tsun', 'dif_temperature', 'dif_weight', 'dif_prcp']",0.6755340942347086
"['prcp', 'tsun', 'dif_temperature', 'dif_tavg', 'dif_tmin']",0.7137693883523559
"['prcp', 'tsun', 'dif_temperature', 'dif_tavg', 'dif_tmax']",0.7225929177641206
"['prcp', 'tsun', 'dif_temperature', 'dif_tavg', 'dif_prcp']",0.7201273046532047
"['prcp', 'tsun', 'dif_temperature', 'dif_tmin', 'dif_tmax']",0.7162350014632717
"['prcp', 'tsun', 'dif_temperature', 'dif_tmin', 'dif_prcp']",0.6956613988879133
"['prcp', 'tsun', 'dif_temperature', 'dif_tmax', 'dif_prcp']",0.7192054433713783
"['prcp', 'tsun', 'dif_weight', 'dif_tavg', 'dif_tmin']",0.7196517412935324
"['prcp', 'tsun', 'dif_weight', 'dif_tavg', 'dif_tmax']",0.7166959321041851
"['prcp', 'tsun', 'dif_weight', 'dif_tavg', 'dif_prcp']",0.7152107111501318
"['prcp', 'tsun', 'dif_weight', 'dif_tmin', 'dif_tmax']",0.7152765583845478
"['prcp', 'tsun', 'dif_weight', 'dif_tmin', 'dif_prcp']",0.6622329528826455
"['prcp', 'tsun', 'dif_weight', 'dif_tmax', 'dif_prcp']",0.7137767047117355
"['prcp', 'tsun', 'dif_tavg', 'dif_tmin', 'dif_tmax']",0.7172227099795142
"['prcp', 'tsun', 'dif_tavg', 'dif_tmin', 'dif_prcp']",0.7118012876792505
"['prcp', 'tsun', 'dif_tavg', 'dif_tmax', 'dif_prcp']",0.7206467661691541
"['prcp', 'tsun', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7167251975417032
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin']",0.7226148668422592
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax']",0.7265218027509511
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_prcp']",0.7329309335674569
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_tmax']",0.7192273924495171
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tmin', 'dif_prcp']",0.6903058238220662
"['prcp', 'dif_temperature', 'dif_weight', 'dif_tmax', 'dif_prcp']",0.7182031021363768
"['prcp', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_tmax']",0.7192054433713785
"['prcp', 'dif_temperature', 'dif_tavg', 'dif_tmin', 'dif_prcp']",0.7113330406789581
"['prcp', 'dif_temperature', 'dif_tavg', 'dif_tmax', 'dif_prcp']",0.7211369622475857
"['prcp', 'dif_temperature', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7118598185542874
"['prcp', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_tmax']",0.7093576236464735
"['prcp', 'dif_weight', 'dif_tavg', 'dif_tmin', 'dif_prcp']",0.7093722563652326
"['prcp', 'dif_weight', 'dif_tavg', 'dif_tmax', 'dif_prcp']",0.7167325139010827
"['prcp', 'dif_weight', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7167398302604623
"['prcp', 'dif_tavg', 'dif_tmin', 'dif_tmax', 'dif_prcp']",0.7103306994439567
"['tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmin']",0.7260096575943807
"['tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_tmax']",0.728014340064384
"['tsun', 'dif_temperature', 'dif_weight', 'dif_tavg', 'dif_prcp']",0.7299970734562479
