date,temperature,tavg,tmax,tmin,prcp,tsun,humidity,weight,activity,dif_temperature,dif_weight,dif_tavg,dif_tmin,dif_tmax,dif_prcp,dif_tsun,dif_humidity
2017-01-01,15.47782905982906,3.9,5.0,2.3,1.0,0,98.04031007751904,50.73679007751918,LOW,4.756683226495724,0.2006592441858501,2.5,2.2,2.9,0.3,-116,0.7480184108521541
2017-01-02,13.37638888888889,1.8,3.3,0.1,1.4,291,98.80631944444453,50.65779625000004,HIGH,2.655243055555553,0.1216654166667083,0.4000000000000001,-0.1,1.1999999999999995,0.7,255,1.514027777777642
2017-01-03,16.181965277777778,4.6,3.375,1.8,9.6,0,98.40347222222226,50.769785555555615,HIGH,5.460819444444441,0.2336547222222833,3.2,1.7,1.275,8.9,-116,1.1111805555553786
2017-01-04,14.724111111111103,3.5,5.4,-0.8,1.0,116,97.29229166666688,50.53260277777781,HIGH,4.002965277777767,-0.0204768055554964,2.1,-1.0,3.3000000000000003,0.3,80,-0.7480184108521541
2017-01-05,9.058442361111103,-3.5,-0.2,-3.6,0.0,321,96.58388888888874,50.10980819444444,LOW,-1.6627034722222334,-0.426322638888891,-4.9,-3.7,-2.3000000000000003,-0.7,205,-0.7084027777781472
2017-01-06,10.565457812499998,-0.1749999999999999,2.0500000000000003,-2.25,0.0,400,96.39909722222224,50.17272687500004,LOW,0.0,-0.3598759027777731,-1.3749999999999998,-2.15,-0.0499999999999998,0.0,364,-0.8931944444446458
2017-01-07,7.758131944444449,-2.1,0.9,-5.0,0.7,0,96.1072222222224,50.55307958333331,LOW,-2.807325868055549,0.105829513888807,-3.3,-4.9,-1.2000000000000002,0.7,-36,-1.1850694444444798
2017-01-08,10.721145833333336,1.4,2.1,0.4,0.0,0,97.23874999999995,50.53613083333333,HIGH,0.1556880208333382,0.096299236111129,0.1999999999999999,0.2,0.0,0.0,-36,-0.6893749999997709
2017-01-09,9.04047222222222,0.9,2.1,0.2,0.0,36,98.33861111111104,50.4398315972222,HIGH,-1.5249855902777778,0.0,-0.2999999999999999,0.0,0.0,-0.7,0,0.0
2017-01-10,8.518958333333337,1.2,1.9,-0.1,0.0,7,99.14270833333327,50.4472500694445,HIGH,-0.5215138888888831,0.007418472222298,0.0,-0.3,-0.8000000000000003,-0.7,-29,0.0
2017-01-11,10.729833333333326,3.1,5.8,1.4,12.7,9,97.92812499999972,50.43842673611128,LOW,1.689361111111106,0.0,1.9,1.2,3.1,12.4,-27,-1.2866666666669886
2017-01-12,13.31172916666667,2.8,5.1,0.9,7.6,84,99.21479166666671,50.38565847222231,LOW,4.407722916666669,0.0,1.6,1.0,2.3999999999999995,7.3,0,-0.3311805555557328
2017-01-13,8.453174999999998,1.2,2.7,-0.3,3.6,95,99.54597222222245,50.30335472222223,HIGH,-0.0657833333333393,-0.0228765972223001,0.0,-0.1999999999999999,0.0,3.3000000000000003,0,-0.1626388888890346
2017-01-14,7.5652291666666684,1.2,3.0,-0.1,0.3,346,99.86916666666696,50.32623131944453,LOW,-0.8879458333333297,0.0228765972223001,0.0,0.1999999999999999,0.2999999999999998,0.0,251,0.0769444444447202
2017-01-15,8.90400625,0.0,1.7,-5.1,0.2,36,99.82868055555537,50.203771944444405,LOW,1.3387770833333317,-0.0268383333333801,0.0,-3.1,-0.1999999999999999,0.0,-59,0.0364583333331296
2017-01-16,6.508114583333334,-3.1,1.5,-6.2,0.0,406,99.79222222222224,49.99011979166658,LOW,-1.0571145833333349,-0.2136521527778256,-3.1,-4.2,-0.3999999999999999,-0.1,311,-0.0364583333331296
2017-01-17,6.97121076388889,-1.1,1.9,-3.9,0.0,95,99.70861111111148,50.230610277777785,HIGH,-0.5940184027777784,0.0456572222222391,-1.1,-1.9,0.0,0.0,59,-0.1200694444438852
2017-01-18,6.051965277777779,-1.3,-0.3,-2.6,0.0,0,100.0,50.18257833333335,LOW,-1.8163784722222216,-0.0015593055555314,-1.3,-0.6000000000000001,-2.2,0.0,-1,0.1713194444446344
2017-01-19,6.420756944444445,-0.1,1.4,-2.0,0.1,0,99.3654861111108,50.184953055555546,LOW,-1.447586805555555,0.0023747222221928,0.0,-0.3,-0.5,0.1,0,-0.5605555555560642
2017-01-20,7.86834375,1.5,2.4,-0.4,0.0,0,99.92604166666686,50.184137638888885,HIGH,-0.9973006944444488,0.0015593055555314,1.1,0.9,0.5,0.0,0,-0.0739583333331381
2017-01-21,11.12026319444445,3.0,4.8,0.5,0.0,1,99.26125000000027,50.162343819444445,HIGH,0.2829520833333383,0.0,2.6,1.8,3.4,0.0,1,-0.738749999999726
2017-01-22,11.995979166666665,0.6,2.2,-1.3,0.0,0,100.0,50.01577520833328,HIGH,0.8757159722222152,-0.0131921527778402,0.1999999999999999,0.0,0.0,0.0,0,0.0
2017-01-23,8.865644444444449,-0.4,0.9,-1.7,0.0,0,100.0,50.000662638888926,LOW,-2.254618750000001,-0.015112569444355,-0.8,-0.3999999999999999,-1.5,0.0,0,0.0
2017-01-24,10.837311111111111,0.4,1.3,-0.5,0.0,0,100.0,50.02896736111112,LOW,-0.2829520833333383,0.0283047222221952,0.2,1.2,-1.2,0.0,-1,0.0
2017-01-25,14.089465277777776,-1.0,-0.2,-1.8,0.0,0,100.0,49.83464125000001,LOW,2.7484131944444403,-0.0715994444445158,-1.2,0.0,-2.7,0.0,-26,0.0
2017-01-26,12.287699999999994,0.2,3.0,-1.8,0.0,181,96.52318684895832,49.90624069444453,HIGH,0.9466479166666576,0.0090963194445663,0.0,0.0,0.2999999999999998,0.0,155,-3.476813151041682
