tsun
-60
-54
-15
-35
42
453
-28
-60
-75
-10
-115
-132
-146
-150
-159
-39
-10
163
235
205
161
100
84
-330
-304
169
268
261
188
-186
-197
-188
-192
-114
106
267
-116
-42
142
-252
-260
244
-221
195
357
372
47
-63
-209
-128
-227
-199
-165
0
189
142
155
76
-54
-150
120
75
189
-51
-225
-113
-273
-223
-43
80
384
203
280
-103
394
50
-261
-232
-263
-291
-320
-254
-148
315
346
314
63
166
172
112
-152
-88
-117
-6
-36
-274
-113
410
328
95
-38
-170
-42
-311
-162
-203
32
5
493
187
-203
-131
406
-226
-207
-174
299
79
538
-173
-212
-263
-177
-221
370
-223
-260
-69
456
88
-231
-34
-226
-22
341
382
72
-424
-28
160
-176
-77
-285
-48
249
253
254
18
-187
67
116
304
-38
-284
-404
-273
30
149
-102
93
191
39
-58
221
69
-330
-374
134
231
242
151
31
81
303
-203
260
-348
-127
-291
52
-383
-409
13
339
392
183
101
234
162
-278
-147
-372
264
-8
-290
-6
-148
307
366
-94
261
101
114
-220
-390
-353
-264
143
188
214
117
41
14
-211
-114
27
299
452
-104
66
-330
-380
-312
-65
185
150
13
93
-174
-3
136
-45
91
193
-255
113
108
-137
254
303
171
-344
-178
-32
100
173
-38
131
-153
-208
-219
151
4
72
-165
-1
91
0
60
-110
11
-182
117
80
174
-94
60
-32
134
-32
-187
107
262
-181
4
45
-18
-28
-173
-62
87
-228
-213
-50
-30
322
178
258
197
66
8
-141
-154
-55
-129
-142
-26
-32
109
-142
210
101
-62
197
136
-5
-28
-82
-33
-63
-48
-29
-22
-21
-29
113
20
-57
-81
-87
-29
17
-87
-85
359
254
-7
-82
32
-54
-52
-36
-21
-57
-67
-59
-58
-47
-73
339
149
-9
-88
-88
-3
76
65
-5
56
-35
-35
-39
-28
-22
-30
-23
-26
-29
114
-29
7
120
-29
1
-21
-48
-48
-46
-54
-54
92
175
-61
-91
-92
158
-98
48
68
53
90
-69
66
-65
-77
32
-63
-30
-66
-57
-84
390
-105
-73
-97
-85
-120
230
-40
245
136
-185
-182
-215
-92
274
371
-225
-87
-310
111
-159
-368
144
182
189
201
227
-46
156
184
129
-304
-282
44
140
-18
15
44
-159
-90
201
-97
-138
-113
320
-153
-197
-173
182
3
487
-188
-194
367
-239
-22
-203
-112
86
-224
-194
182
68
49
-220
365
326
282
-278
-144
-12
-132
-526
114
-40
-119
143
230
219
166
54
9
-290
-13
-31
-28
210
4
105
-117
-17
-465
-153
-7
229
252
262
236
11
-146
-160
156
-158
-162
58
-279
-8
149
154
148
93
-12
40
-71
205
274
161
-188
-162
-146
-121
-132
-89
-82
-102
101
56
273
-84
-155
24
112
284
-144
-151
-167
149
-38
-95
-155
-159
344
351
355
-142
-136
-142
-103
-117
-19
201
-57
-60
22
86
-60
128
-37
-38
-13
-28
-49
-67
-42
-53
85
50
39
205
-68
-75
-75
-58
208
-70
-50
-96
11
-96
13
-81
110
106
368
-102
-101
-102
