date,temperature,tavg,tmax,tmin,prcp,tsun,humidity,weight,activity
2017-01-01,0.0205890780080193,-4.9,-3.0,-6.7,0.0,0,91.98409722222225,52.67111111111112,LOW
2017-01-02,1.804989333827729,3.9000000000000004,3.5,3.6,0.8,6,0.8106249999999733,0.0,LOW
2017-01-03,2.15947283720372,3.35,3.45,3.6000000000000005,-0.30000000000000004,39,-1.2159374999999955,-0.01734381944442731,LOW
2017-01-04,1.2960039855072458,1.3,1.0499999999999998,1.3000000000000003,1.45,0,-0.9061805555555509,-0.05160461805552785,HIGH
2017-01-05,-1.1570887303743955,-2.5,-0.8999999999999999,-5.9,-1.0,63,-8.469618055555571,-0.008710381944453616,HIGH
2017-01-06,-3.9424192406400964,-2.075,-6.6,-2.3999999999999995,-0.95,420,4.678350694444447,-0.32488645833335283,HIGH
2017-01-07,-3.309508974939613,0.7687500000000003,-2.75,2.062499999999999,0.1,-258,1.9766493055555259,-0.07319944444444104,LOW
2017-01-08,3.6057249094202897,0.8218749999999999,5.450000000000001,0.9812500000000002,0.05,-255,-0.1801736111111012,0.3111685416666603,LOW
2017-01-09,4.077691432669082,1.134375,2.6500000000000004,3.9562500000000003,-0.1,-15,0.5622569444444423,0.10108211805557943,HIGH
2017-01-10,1.2986002792874398,-0.19999999999999996,0.20000000000000007,-1.0500000000000003,-0.05,78,-3.776840277777765,-0.059262604166669064,HIGH
2017-01-11,0.9052943010265704,1.65,3.5,0.6000000000000001,1.1,-39,-0.3955902777777709,-0.12102864583337691,LOW
2017-01-12,2.5064200785024147,3.3,2.0,4.65,2.8499999999999996,-27,-2.7204861111111143,-0.10316131944446738,HIGH
2017-01-13,0.13984257246376863,-0.3500000000000001,1.1499999999999995,-1.3,-1.85,-6,-5.299402777777786,-0.16361725694442697,HIGH
2017-01-14,-1.9614382095410612,-1.75,-2.8,-0.9500000000000001,-1.5999999999999999,24,2.5630590277777685,-0.16733368055555076,LOW
2017-01-15,-1.1334350090579717,-1.8,-1.7500000000000004,-1.5000000000000002,0.25,39,3.9920416666666796,0.02363510416667225,HIGH
2017-01-16,-1.3491922176932376,-3.75,-3.85,-5.2,-0.44999999999999996,162,3.876593749999998,-0.09411857638889387,LOW
2017-01-17,-1.0089188783212557,-1.1500000000000001,-0.9,-1.3500000000000005,-0.3,99,-1.1541666666666544,0.04156135416666018,LOW
2017-01-18,0.7648814160628024,-0.5999999999999996,-1.1102230246251565e-16,-1.3000000000000007,0.0,186,-2.618965277777775,-0.10101684027777225,LOW
2017-01-19,0.5032348505434774,-1.1999999999999997,0.75,-2.25,0.0,189,3.6068958333333256,-0.306894479166651,HIGH
2017-01-20,2.3116138360507255,1.3999999999999995,3.9,-0.1999999999999993,0.0,57,-3.3492500000000263,-0.19456395833333318,HIGH
2017-01-21,0.8554643115942033,0.09999999999999964,-0.10000000000000009,0.05000000000000071,0.0,-9,-3.9074548611111055,-0.0490553819444699,HIGH
2017-01-22,-0.7909116394927551,-2.2,-3.0,-1.0999999999999996,0.0,-42,2.371687499999993,-0.013032395833334931,LOW
2017-01-23,-2.7875184027777773,-0.4500000000000002,-5.050000000000001,0.7750000000000004,0.0,-48,7.710281250000008,0.014278854166668964,LOW
2017-01-24,-1.1610690821256031,1.3125000000000009,1.2249999999999999,0.26250000000000107,0.0,-447,2.808229166666635,-0.026264513888868635,LOW
2017-01-25,2.5885745923913053,0.6062500000000002,0.8875000000000006,2.1125,0.0,-216,-1.3936805555555623,0.006948437500000182,HIGH
2017-01-26,4.175610461956522,2.53125,3.5375,3.749999999999999,0.0,438,-6.054680555555521,-0.09216187499999506,HIGH
2017-01-27,0.9666760341183576,0.5499999999999998,2.8499999999999996,-1.2999999999999998,0.0,285,1.6204652777777682,-0.2059743055555714,HIGH
2017-01-28,-1.3186225317029,-2.5500000000000003,-2.75,-2.5999999999999996,0.0,9,5.0569236111111024,-0.05739097222222256,LOW
2017-01-29,0.24464895833333333,0.3999999999999999,1.5999999999999999,-1.1500000000000004,0.0,-90,3.9889930555555537,-0.06606343749997734,LOW
2017-01-30,2.9233264719202907,4.65,3.7,4.35,5.9,-441,-1.056736111111121,-0.030748472222221324,LOW
2017-01-31,3.1418707653985507,3.75,1.0499999999999998,6.6,-2.95,-201,-2.208784722222248,-0.045657847222237535,HIGH
2017-02-01,0.9084578049516931,-0.30000000000000004,-0.9000000000000004,1.4500000000000002,-2.5500000000000003,36,-1.5538194444444144,-0.06732875000000149,HIGH
2017-02-02,0.14251195652173898,0.3999999999999999,0.4500000000000002,0.6500000000000001,-0.1,-18,-0.4075347222221808,-0.03711225694443954,LOW
2017-02-03,1.7394734978864737,1.7999999999999998,4.55,0.5,-0.15,24,1.8639583333333007,-0.08291840277778562,HIGH
2017-02-04,0.822000883152171,1.0500000000000003,0.9500000000000002,-0.40000000000000013,1.5,243,-1.2212152777778158,-0.15127524305555795,HIGH
2017-02-05,0.6298509510869561,0.40000000000000036,0.049999999999998934,0.9999999999999999,-0.8500000000000001,243,0.1970138888888897,-0.19246218750001276,HIGH
2017-02-06,-0.46490723128018985,-0.8999999999999995,-1.4000000000000004,-0.09999999999999987,-0.8,-288,-0.32065972222221717,-0.19222718750000922,HIGH
2017-02-07,-0.46569598429951853,-1.7000000000000002,-1.75,-1.4499999999999997,0.3,-63,-0.3788888888888522,-0.11658916666665675,HIGH
2017-02-08,-1.6063145153985516,-2.2,-1.4500000000000002,-1.9500000000000002,-0.15,279,0.25704861111111654,-0.19184427083332167,HIGH
