date,temperature,tavg,tmax,tmin,prcp,tsun,humidity,weight,activity
2017-01-01,0.0205890780080193,-4.9,-3.0,-6.7,0.0,0,91.98409722222225,52.67111111111112,LOW
2017-01-02,1.804989333827729,3.9000000000000004,3.5,3.6,0.8,6,0.8106249999999733,0.0,LOW
2017-01-03,1.2569781702898557,1.4,1.7000000000000002,1.8,-0.7000000000000001,36,-1.621249999999975,-0.01734381944442731,LOW
2017-01-04,0.6675149003623182,0.6,0.19999999999999973,0.4,1.7999999999999998,-18,-0.09555555555556339,-0.04293270833331064,HIGH
2017-01-05,-1.4908461805555544,-2.8,-1.0,-6.1,-1.9,72,-8.42184027777779,0.012755972222201706,HIGH
2017-01-06,-3.1969961503623194,-0.675,-6.1,0.6500000000000004,0.0,384,8.889270833333342,-0.33126444444445724,HIGH
2017-01-07,-1.7110108997584534,1.1062500000000002,0.2999999999999998,1.737499999999999,0.1,-450,-2.467986111111145,0.09243277777778758,LOW
2017-01-08,4.461230359299516,0.2687499999999998,5.300000000000001,0.11250000000000071,0.0,-30,1.0538194444444713,0.2649521527777665,LOW
2017-01-09,1.8470762530193234,1.0,0.0,3.9,-0.1,0,0.03534722222219955,-0.03139395833330383,HIGH
2017-01-10,0.3750621527777782,-0.7000000000000001,0.20000000000000007,-3.0,0.0,78,-3.794513888888858,-0.0435656250000136,HIGH
2017-01-11,0.7177632246376815,2.0,3.4,2.1,1.1,-78,1.5016666666666652,-0.09924583333337011,LOW
2017-01-12,2.1475384661835735,2.3,0.2999999999999998,3.6,2.3,12,-3.471319444444447,-0.053538402777782323,HIGH
2017-01-13,-0.9339266606280185,-1.5,1.0,-3.1,-3.0,-12,-3.5637430555555625,-0.13684805555553936,HIGH
2017-01-14,-1.4944748792270524,-1.0,-3.3,0.6,-0.10000000000000003,30,4.34493055555555,-0.09890965277777752,LOW
2017-01-15,-0.3861975694444455,-1.3,-0.10000000000000009,-1.8000000000000003,0.3,24,1.8195763888889047,0.07308993055556101,HIGH
2017-01-16,-1.1560934329710144,-3.1,-3.8,-4.3,-0.6,150,2.9668055555555526,-0.13066354166667793,LOW
2017-01-17,-0.4308721618357483,0.3999999999999999,0.9999999999999999,0.7999999999999998,0.0,24,-2.6375694444444377,0.10689312499999915,LOW
2017-01-18,0.9803174969806765,-0.7999999999999998,-0.5,-1.7000000000000002,0.0,174,-1.3001805555555563,-0.15446340277777182,LOW
2017-01-19,0.013076102053139138,-0.7999999999999998,1.0,-1.4000000000000004,0.0,102,4.256986111111104,-0.22966277777776156,HIGH
2017-01-20,2.305075785024156,1.7999999999999998,3.4,0.5,0.0,6,-5.477743055555578,-0.0797325694444524,HIGH
2017-01-21,-0.29707358091787484,-0.8000000000000003,-1.8,-0.1999999999999993,0.0,-12,-1.1685833333333164,-0.009189097222247256,HIGH
2017-01-22,-0.6423748490338177,-1.8000000000000003,-2.1,-1.0,0.0,-36,2.9559791666666513,-0.008437847222211303,LOW
2017-01-23,-2.4663309782608684,0.4500000000000002,-4.0,1.2750000000000004,0.0,-30,6.232291666666683,0.018497777777774616,LOW
2017-01-24,0.07209640700483089,1.0875000000000004,3.2249999999999996,-0.375,0.0,-432,-0.30791666666671347,-0.03551340277775239,LOW
2017-01-25,2.55252638888889,0.0625,-0.7249999999999994,2.3,0.0,0,-1.2397222222221984,0.024705138888876377,HIGH
2017-01-26,2.899347267512077,2.5,3.9,2.5999999999999996,0.0,438,-5.434819444444415,-0.10451444444443325,HIGH
2017-01-27,-0.48299759963768096,-0.7,0.8999999999999999,-2.5999999999999996,0.0,66,4.337874999999968,-0.15371708333335476,HIGH
2017-01-28,-1.0771237318840594,-2.2,-3.1999999999999997,-1.2999999999999998,0.0,-24,2.8879861111111182,0.019467569444458377,LOW
2017-01-29,0.783210824275363,1.5,3.1999999999999997,-0.5,0.0,-78,2.5450000000000017,-0.07579722222220653,LOW
2017-01-30,2.531721059782609,3.9000000000000004,2.1,4.6,5.9,-402,-2.329236111111115,0.007150138888881941,LOW
2017-01-31,1.8760102355072465,1.8,0.0,4.3,-5.9,0,-1.0441666666666833,-0.04923291666668206,HIGH
2017-02-01,-0.029547312801931014,-1.2,-0.9000000000000004,-0.7000000000000001,0.4,36,-1.0317361111110728,-0.04271229166666046,HIGH
2017-02-02,0.1572856129227045,0.9999999999999998,0.9000000000000004,1.0,-0.30000000000000004,-36,0.1083333333333627,-0.015756111111109306,LOW
2017-02-03,1.6608306914251205,1.2999999999999998,4.1,0.0,0.0,42,1.8097916666666265,-0.07504034722223452,HIGH
2017-02-04,-0.008414462560390135,0.40000000000000036,-1.0999999999999996,-0.40000000000000013,1.5,222,-2.126111111111129,-0.11375506944443714,HIGH
2017-02-05,0.6340581823671503,0.20000000000000018,0.5999999999999996,1.2,-1.6,132,1.2600694444444542,-0.1355846527777942,HIGH
2017-02-06,-0.7819363224637659,-1.0,-1.6999999999999993,-0.7,0.0,-354,-0.9506944444444372,-0.12443486111111213,HIGH
2017-02-07,-0.07472782306763648,-1.2000000000000002,-0.9000000000000004,-1.0999999999999999,0.3,114,0.09645833333335929,-0.05437173611110069,HIGH
2017-02-08,-1.5689506038647334,-1.6,-1.0,-1.4000000000000001,-0.3,222,0.208819444444444,-0.16465840277776778,HIGH
2017-02-09,-2.9567138737922676,-2.4,-4.6,-2.5,0.0,-378,-1.5203472222222416,-0.06495604166666169,LOW
2017-02-10,1.2474958786231891,1.3,0.4,2.6999999999999997,0.0,0,0.12138888888890165,-0.04373243055559328,LOW
