date,temperature,tavg,tmax,tmin,prcp,tsun,humidity,weight,activity
2017-01-01,-3.729482404479903,-4.800000000000001,-5.2,-5.2,-0.3,-30,2.906736111111158,0.09635965277775682,LOW
2017-01-02,-1.924493070652174,-0.9,-1.7000000000000002,-1.6,0.7000000000000001,-24,3.7173611111111313,0.09635965277775682,LOW
2017-01-03,-0.6675149003623182,0.7,0.8000000000000003,0.9000000000000001,-0.19999999999999998,18,2.0961111111111563,0.07901583333332951,LOW
2017-01-04,0.09054661835748767,1.3,1.0,1.3000000000000003,1.7999999999999998,-6,2.000555555555593,0.03608312500001887,HIGH
2017-01-05,-1.4908461805555544,-1.7,-0.8000000000000003,-5.5,-0.3,72,-7.475104166666668,0.04883909722222057,HIGH
2017-01-06,-4.687842330917874,-2.375,-6.9,-4.85,-0.3,456,2.467986111111145,-0.31850847222225553,HIGH
2017-01-07,-6.398853230676327,-1.2687499999999998,-6.6000000000000005,-3.1125000000000007,-0.19999999999999998,6,-1.0538194444444713,-0.22607569444446796,LOW
2017-01-08,-1.937622871376811,-1.0,-1.3000000000000003,-3.0,-0.19999999999999998,-30,1.0538194444444713,0.07495958333331743,LOW
2017-01-09,-0.09054661835748767,0.0,-1.3000000000000003,0.9,-0.1,-30,1.0891666666666708,0.1428114583333837,HIGH
2017-01-10,0.28451553442029054,-0.5,-0.2999999999999998,-1.4,-0.1,48,-1.5016666666666652,0.15278423611115244,HIGH
2017-01-11,1.0928253774154597,2.0,3.4,2.1,1.0,-54,0.54131944444444,0.09074673611107897,LOW
2017-01-12,3.240363843599033,4.3,3.9,5.7,3.3,-42,-3.471319444444447,0.12964111111108423,HIGH
2017-01-13,1.9313750301932364,2.8,4.699999999999999,2.6,0.30000000000000004,-54,-6.493743055555569,0.0,HIGH
2017-01-14,0.3861975694444455,1.8,0.8,3.2,0.3,-48,-1.8195763888889047,-0.07308993055556101,LOW
2017-01-15,-0.3861975694444455,0.5,0.7,1.4,0.6,-150,0.404305555555581,0.023770416666678784,HIGH
2017-01-16,-1.54229100241546,-0.6000000000000001,-3.0999999999999996,-0.7999999999999998,0.0,-24,3.3711111111111336,-0.05757361111111692,LOW
2017-01-17,-1.9731631642512082,0.0,-2.1,0.7999999999999998,0.0,0,0.32923611111111484,0.10689312499999915,LOW
2017-01-18,-0.9928456672705317,-0.3999999999999999,-1.0,-0.9000000000000004,0.0,174,-0.9709444444444415,0.0,LOW
2017-01-19,-0.9797695652173926,-1.1999999999999997,0.0,-2.3000000000000007,0.0,102,3.2860416666666623,0.0,HIGH
2017-01-20,1.3253062198067633,0.6000000000000001,3.4,-1.8000000000000007,0.0,78,-2.5209375000000307,-0.0008708333333160567,HIGH
2017-01-21,0.6423748490338177,0.0,2.0,-1.0999999999999996,0.0,60,-6.327090277777785,-0.009189097222247256,HIGH
2017-01-22,-0.15829181763285227,-1.8000000000000003,-0.10000000000000003,-1.9000000000000004,0.0,24,-3.5877083333333246,-0.008437847222211303,LOW
2017-01-23,-3.108705827294686,-1.35,-4.5,-0.625,0.0,-6,2.5419444444444395,0.010808263888876013,LOW
2017-01-24,-3.33368300120773,-0.26249999999999973,-2.8750000000000004,-1.0,0.0,-438,1.2397222222221984,-0.017015624999977774,LOW
2017-01-25,-1.3392259359903367,-1.0,-3.9,1.2999999999999998,0.0,-438,0.0,0.024705138888876377,HIGH
2017-01-26,0.7769105072463773,1.4000000000000001,-0.8999999999999999,2.5999999999999996,0.0,6,-5.47405555555558,0.0,HIGH
2017-01-27,0.0,0.0,0.0,0.0,0.0,102,-2.0595833333333218,-0.019467569444458377,HIGH
2017-01-28,-1.5601213315217404,-2.9000000000000004,-3.1999999999999997,-3.8999999999999995,0.0,216,0.8284027777777965,0.019467569444458377,LOW
